IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.146.202,4,4,0.00,101.38,0.00,N/A
172.64.229.118,4,4,0.00,101.38,0.00,N/A
104.18.37.201,4,4,0.00,101.42,0.00,N/A
172.64.150.249,4,4,0.00,101.43,0.00,N/A
172.64.229.13,4,4,0.00,101.44,0.00,N/A
172.64.229.66,4,4,0.00,101.44,0.00,N/A
172.64.229.67,4,4,0.00,101.44,0.00,N/A
172.64.229.84,4,4,0.00,101.45,0.00,N/A
172.64.229.211,4,4,0.00,101.46,0.00,N/A
172.64.229.52,4,4,0.00,101.46,0.00,N/A
104.18.43.42,4,4,0.00,101.47,0.00,N/A
172.64.229.208,4,4,0.00,101.47,0.00,N/A
172.64.229.133,4,4,0.00,101.48,0.00,N/A
172.64.229.61,4,4,0.00,101.48,0.00,N/A
104.18.44.214,4,4,0.00,101.49,0.00,N/A
172.64.229.176,4,4,0.00,101.51,0.00,N/A
104.18.32.20,4,4,0.00,101.51,0.00,N/A
172.64.229.122,4,4,0.00,101.52,0.00,N/A
172.64.146.222,4,4,0.00,101.52,0.00,N/A
8.35.211.100,4,4,0.00,101.53,0.00,N/A
172.64.229.142,4,4,0.00,101.53,0.00,N/A
172.64.156.114,4,4,0.00,101.58,0.00,N/A
172.64.229.58,4,4,0.00,101.59,0.00,N/A
172.64.151.133,4,4,0.00,101.59,0.00,N/A
172.64.229.95,4,4,0.00,101.59,0.00,N/A
172.64.146.163,4,4,0.00,101.59,0.00,N/A
172.64.229.60,4,4,0.00,101.61,0.00,N/A
172.64.229.34,4,4,0.00,101.61,0.00,N/A
172.64.229.210,4,4,0.00,101.63,0.00,N/A
172.64.229.203,4,4,0.00,101.63,0.00,N/A
172.64.229.252,4,4,0.00,101.63,0.00,N/A
172.64.229.170,4,4,0.00,101.63,0.00,N/A
172.64.229.254,4,4,0.00,101.63,0.00,N/A
104.18.36.19,4,4,0.00,101.65,0.00,N/A
172.64.146.204,4,4,0.00,101.66,0.00,N/A
104.18.45.51,4,4,0.00,101.67,0.00,N/A
104.18.39.63,4,4,0.00,101.67,0.00,N/A
172.64.229.109,4,4,0.00,101.67,0.00,N/A
104.18.43.28,4,4,0.00,101.67,0.00,N/A
104.18.40.176,4,4,0.00,101.68,0.00,N/A
172.64.229.136,4,4,0.00,101.68,0.00,N/A
104.18.43.172,4,4,0.00,101.68,0.00,N/A
172.64.229.11,4,4,0.00,101.68,0.00,N/A
